"Origin","lon","lat"
"2322",151.6654939,-32.8189255
"2321",151.4435474,-32.6916544
"2166",150.9365521,-33.8961316
"2176",150.8783824,-33.8709405
"2580",149.7487272,-34.7206289
"2162",151.006385,-33.883427
"2576",150.4660289,-34.5304441
"2168",150.8783824,-33.9117729
"2565",150.8493059,-33.9909712
"2804",148.6001005,-33.5565485
"2844",149.3339956,-32.0462102
"2849",150.1184797,-32.7056049
"2197",150.9976541,-33.8990652
"2165",150.9452794,-33.8702903
"2558",150.8057017,-34.0331927
"2177",150.8812903,-33.8946607
"2173",150.9307341,-34.0425826
"2164",150.9132815,-33.8492918
"2575",150.3500838,-34.358075
"0800",130.7766611,-12.3932794
"4575",153.1300249,-26.7230355
"2208",151.0995447,-33.9379361
"2035",151.2393885,-33.942927
"2010",133.775136,-25.274398
"2214",150.9801939,-33.9405364
"2142",151.006385,-33.8323277
"2032",151.2306446,-33.9279209
"2127",151.0675147,-33.840308
"2141",151.0413133,-33.8719405
"2161",150.9831038,-33.8570185
"2144",151.0296696,-33.8485157
"2121",151.0791612,-33.7716764
"2234",151.006385,-34.0161592
"2223",151.0762495,-33.9830462
"2218",151.1199309,-33.9712426
"2026",151.2714535,-33.8922511
"2147",150.9365521,-33.7632936
"2134",151.1024569,-33.8799121
"2140",151.0791612,-33.858623
"2118",151.0413133,-33.7799114
"2221",151.1111936,-33.9919897
"2031",151.2393885,-33.9122447
"2205",151.1490585,-33.9378099
"4170",153.0750052,-27.4620175
"4152",153.1030766,-27.5070527
"4171",153.0589126,-27.4517481
"4154",153.161976,-27.486707
"4153",153.1354693,-27.511066
"4178",153.17369,-27.4437553
"4065",152.9764978,-27.461705
"4169",153.0412496,-27.4806276
"4173",153.1295793,-27.4718491
"4172",153.1030766,-27.452781
"5158",138.5337293,-35.0684234
"5165",138.476227,-35.1335313
"5166",138.476227,-35.1198409
"5173",138.4737282,-35.2806692
"5167",138.4737282,-35.1530214
"5163",138.56876,-35.1332262
"5168",138.5012206,-35.1621961
"5164",138.496221,-35.1281692
"5162",138.5437358,-35.118261
"3212",144.4561033,-38.0110859
"3021",144.8016402,-37.7435941
"3218",144.2047333,-38.1180538
"3219",144.3849841,-38.176358
"3215",144.3357845,-38.1083132
"3214",144.3576473,-38.0788809
"3223",144.6753231,-38.1610488
"3224",144.4451578,-38.1833957
"3332",144.1065864,-37.9633341
"3030",144.6753231,-37.938058
"3028",144.7796581,-37.8760399
"3018",144.8126334,-37.859343
"3037",144.7521888,-37.6940036
"3130",145.1541397,-37.8258214
"3057",144.9804594,-37.769412
"3146",145.0548502,-37.8577136
"3165",145.0658766,-37.9174873
"3204",145.0438252,-37.9193526
"3101",145.0328017,-37.803516
"3802",145.2590707,-37.9780214
"3073",145.0107588,-37.7118644
"3912",145.2148736,-38.2242212
"3127",145.0989646,-37.8259003
"3207",144.9226452,-37.8315264
"3038",144.7906484,-37.7024727
"3205",144.963937,-37.8338889
"3079",145.0438252,-37.7698427
"3067",144.9983623,-37.8023601
"3191",145.0135139,-37.9533967
"3051",144.9419122,-37.7983816
"3025",144.8346241,-37.8388686
"3124",145.0658766,-37.8334095
"3059",144.8841246,-37.6454887
"4570",152.6705427,-26.1882554
"4563",152.8852905,-26.4240134
"6112",116.005922,-32.1670352
"6122",116.0650307,-32.2702417
"6057",116.0118335,-31.948787
"0861",133.775136,-25.274398
"0860",134.1815176,-19.6573896
"2350",151.9813913,-30.4941859
"2444",152.8499952,-31.392698
"4461",148.3602816,-26.6483957
"5095",138.613832,-34.8178472
"5086",138.6413941,-34.8590277
"5088",138.6714773,-34.8531022
"5087",138.6464068,-34.8702649
"5075",138.6764928,-34.8689266
"5097",138.7040858,-34.8183744
"5098",138.6413941,-34.8315199
"5085",138.613832,-34.854518
"5090",138.6965591,-34.8450957
"5083",138.6113271,-34.8786853
"4305",152.7676633,-27.6372514
"4304",152.8088251,-27.6080535
"4301",152.8558773,-27.628802
"4306",152.3095833,-26.9231696
"3058",144.9666905,-37.7343488
"3031",144.9198932,-37.790896
"3044",144.9364069,-37.7310813
"3041",144.9006313,-37.7306079
"3056",144.9584302,-37.7666099
"3040",144.9006313,-37.7493029
"3039",144.9198932,-37.7675363
"3055",144.9419122,-37.761
"3042",144.8758725,-37.7245197
"3350",143.8563224,-37.5691087
"3351",143.0029169,-37.6978029
"3364",143.9541563,-37.3708363
"3355",143.7911684,-37.5089149
"3352",143.8671868,-37.7122033
"3373",143.3474304,-37.4528631
"4074",152.9264759,-27.5569601
"4075",152.9823847,-27.5443032
"4078",152.9617842,-27.6185546
"4070",152.8676421,-27.5554476
"4066",152.9917027,-27.4756536
"4077",152.9794406,-27.5951554
"6157",115.7841452,-32.0381954
"6333",117.0794082,-34.8849782
"6156",115.8018941,-32.0396369
"6423",118.7198004,-31.1287561
"6158",115.7663951,-32.0367504
"0851",133.775136,-25.274398
"6121",115.9231471,-32.216928
"6166",115.7871034,-32.146131
"6409",117.5026174,-31.585917
"6160",115.7604781,-32.0539328
"6383",117.4556388,-31.9754952
"6100",115.8965353,-31.9660425
"6396",116.9381434,-34.3028954
"6315",117.2676116,-33.3563263
"2083",151.2219013,-33.5542808
"2154",150.9947439,-33.7270691
"2158",151.0354914,-33.6914284
"3805",145.3032906,-38.0302499
"3171",145.1541397,-37.9473307
"3804",145.3309395,-37.9788019
"3803",145.2756505,-38.0069505
"2795",149.5642369,-33.5390607
"4455",148.7871121,-26.5713754
"7150",147.2679116,-43.3937074
"5076",138.7040858,-34.873423
"5133",138.7944857,-34.800439
"5074",138.6714773,-34.8806117
"6210",115.7220148,-32.5461633
"6172",115.7516025,-32.3760083
"6175",115.754561,-32.4466752
"3049",144.8896264,-37.6707522
"3043",144.8786231,-37.7044206
"3429",144.7192376,-37.5424727
"3048",144.9226452,-37.6539007
"4061",152.9382447,-27.4401591
"4660",152.3095833,-25.1854347
"4035",152.9794406,-27.3565346
"4034",153.0441933,-27.3645676
"4520",152.8676186,-27.37121
"7258",147.2437064,-41.5159459
"7265",147.8064483,-41.0393927
"7212",147.4572613,-41.5934307
"7301",147.0767717,-41.6061044
