postcode,metro,regional,remote,postcode_4digit,lon,lat
2071,1,0,0,2071,151.1665377,-33.7632319
2072,1,0,0,2072,151.1548847,-33.7551473
2073,1,0,0,2073,151.134494,-33.7627554
2074,1,0,0,2074,151.1577979,-33.6867425
2075,1,0,0,2075,151.1694511,-33.7204426
2076,1,0,0,2076,151.1228434,-33.7085861
2077,1,0,0,2077,151.0995447,-33.6924088
2079,1,0,0,2079,151.125756,-33.6709087
2080,1,0,0,2080,151.132,-33.646
2081,0.8784,0.1216,0,2081,151.1694511,-33.5769126
2082,1,0,0,2082,151.134,-33.6
2083,0,1,0,2083,151.2219013,-33.5542808
2084,0.9455,0.0545,0,2084,151.2219013,-33.6363689
2085,1,0,0,2085,151.2044159,-33.7293236
2086,1,0,0,2086,151.2248157,-33.7473073
2087,1,0,0,2087,151.2160726,-33.773259
2088,1,0,0,2088,151.2393885,-33.8303776
2089,1,0,0,2089,151.2189869,-33.8379923
2090,1,0,0,2090,151.2262729,-33.8283272
2091,1,0,0,2091,Unknown,Unknown
2092,1,0,0,2092,151.2423032,-33.7927181
2093,1,0,0,2093,151.2627078,-33.8055737
2094,1,0,0,2094,151.2729111,-33.7940757
2095,1,0,0,2095,151.2947775,-33.8060158
2096,1,0,0,2096,151.2889461,-33.7738038
2097,1,0,0,2097,151.2947775,-33.734283
2098,1,0,0,2098,Unknown,Unknown
2099,1,0,0,2099,151.2860306,-33.7500081
2100,1,0,0,2100,151.2627078,-33.7645979
2101,1,0,0,2101,151.2685382,-33.6891976
2102,1,0,0,2102,151.2947775,-33.6881414
2103,1,0,0,2103,151.3064407,-33.6757024
2104,1,0,0,2104,151.2889461,-33.6610245
2105,0.9314,0.0686,0,2105,151.290404,-33.6395909
2106,1,0,0,2106,151.3122727,-33.6566564
2107,1,0,0,2107,151.321021,-33.6357749
2108,1,0,0,2108,151.307,-33.601
2109,1,0,0,2109,151.1126498,-33.7738237
2110,1,0,0,2110,151.1374068,-33.8274649
2111,1,0,0,2111,151.125756,-33.8296098
2112,1,0,0,2112,151.1111936,-33.807991
2113,1,0,0,2113,151.134494,-33.7934648
2114,1,0,0,2114,151.0849848,-33.8089747
2115,1,0,0,2115,151.0616918,-33.8132521
2116,1,0,0,2116,151.0384023,-33.8124093
2117,1,0,0,2117,151.0296696,-33.7973906
2118,1,0,0,2118,151.0413133,-33.7799114
2119,1,0,0,2119,151.0646032,-33.7551665
2120,1,0,0,2120,151.0762495,-33.7274311
2121,1,0,0,2121,151.0791612,-33.7716764
2122,1,0,0,2122,151.0966326,-33.7863691
2123,1,0,0,2123,Unknown,Unknown
2124,1,0,0,2124,Unknown,Unknown
2125,1,0,0,2125,151.0296696,-33.7462388
2126,1,0,0,2126,151.0413133,-33.7287467
2127,1,0,0,2127,151.0675147,-33.840308
2128,1,0,0,2128,151.0442244,-33.8343506
2129,1,0,0,2129,151.0718821,-33.863152
2130,1,0,0,2130,151.1359504,-33.8922971
2131,1,0,0,2131,151.125756,-33.8909735
2132,1,0,0,2132,151.114106,-33.8828873
2133,1,0,0,2133,151.1082813,-33.8967345
2134,1,0,0,2134,151.1024569,-33.8799121
2135,1,0,0,2135,151.0762495,-33.8808808
2136,1,0,0,2136,151.0733379,-33.8929126
2137,1,0,0,2137,151.1024569,-33.8543494
2138,1,0,0,2138,151.0908086,-33.8462611
2139,1,0,0,2139,151.0929926,-33.8385096
2140,1,0,0,2140,151.0791612,-33.858623
2141,1,0,0,2141,151.0413133,-33.8719405
2142,1,0,0,2142,151.006385,-33.8323277
2143,1,0,0,2143,151.0296696,-33.8893965
2144,1,0,0,2144,151.0296696,-33.8485157
2145,1,0,0,2145,150.9481887,-33.8173961
2146,1,0,0,2146,150.9569167,-33.7915266
2147,1,0,0,2147,150.9365521,-33.7632936
2148,1,0,0,2148,150.9016476,-33.7849921
2149,1,0,0,2149,Unknown,Unknown
2150,1,0,0,2150,151.0092954,-33.8151823
2151,1,0,0,2151,151.0180269,-33.7739537
2152,1,0,0,2152,150.9918338,-33.7902573
2153,1,0,0,2153,150.9889238,-33.7613862
2154,1,0,0,2154,150.9947439,-33.7270691
2155,0.9085,0.0915,0,2155,150.9423702,-33.6880666
2156,0.714,0.286,0,2156,150.9656452,-33.6530868
2157,0,1,0,2157,151.0122058,-33.5420387
2158,0.9246,0.0754,0,2158,151.0354914,-33.6914284
2159,0.4561,0.5439,0,2159,151.0704263,-33.5876386
2160,1,0,0,2160,150.9831038,-33.8365794
2161,1,0,0,2161,150.9831038,-33.8570185
2162,1,0,0,2162,151.006385,-33.883427
2163,1,0,0,2163,150.9801939,-33.884368
2164,1,0,0,2164,150.9132815,-33.8492918
2165,1,0,0,2165,150.9452794,-33.8702903
2166,1,0,0,2166,150.9365521,-33.8961316
2167,1,0,0,2167,150.8929227,-33.9690916
2168,1,0,0,2168,150.8783824,-33.9117729
2169,1,0,0,2169,Unknown,Unknown
2170,1,0,0,2170,150.9190988,-33.9477825
2171,0.8884,0.1116,0,2171,150.8434913,-33.9333763
2172,1,0,0,2172,150.9743743,-33.9645606
2173,0.9761,0.0239,0,2173,150.9307341,-34.0425826
2174,1,0,0,2174,150.8580282,-33.9651827
2175,1,0,0,2175,150.8493059,-33.848126
2176,1,0,0,2176,150.8783824,-33.8709405
2177,1,0,0,2177,150.8812903,-33.8946607
2178,1,0,0,2178,150.8027952,-33.8769426
2179,1,0,0,2179,150.8086082,-33.9549525
2190,1,0,0,2190,151.0529578,-33.90558
2191,1,0,0,2191,151.0849848,-33.9061117
2192,1,0,0,2192,151.0908086,-33.9178204
2193,1,0,0,2193,151.1199309,-33.909932
2194,1,0,0,2194,151.1024569,-33.9105784
2195,1,0,0,2195,151.0733379,-33.9235692
2196,1,0,0,2196,151.0558691,-33.9293131
2197,1,0,0,2197,150.9976541,-33.8990652
2198,1,0,0,2198,150.9860137,-33.9062913
2199,1,0,0,2199,151.0209375,-33.9050378
2200,1,0,0,2200,151.0296696,-33.9200458
2201,1,0,0,2201,Unknown,Unknown
2202,1,0,0,2202,Unknown,Unknown
2203,1,0,0,2203,151.1374068,-33.9041707
2204,1,0,0,2204,151.1548847,-33.9086291
2205,1,0,0,2205,151.1490585,-33.9378099
2206,1,0,0,2206,151.125756,-33.9267511
2207,1,0,0,2207,151.1228434,-33.9541086
2208,1,0,0,2208,151.0995447,-33.9379361
2209,1,0,0,2209,151.0791612,-33.9454921
2210,1,0,0,2210,151.0529578,-33.9566557
2211,1,0,0,2211,151.0296696,-33.9608964
2212,1,0,0,2212,151.0151163,-33.9495044
2213,1,0,0,2213,150.9947439,-33.9519315
2214,1,0,0,2214,150.9801939,-33.9405364
2215,1,0,0,2215,Unknown,Unknown
2216,1,0,0,2216,151.1490585,-33.9531396
2217,1,0,0,2217,151.1374068,-33.9757081
2218,1,0,0,2218,151.1199309,-33.9712426
2219,1,0,0,2219,151.1315813,-33.9946489
2220,1,0,0,2220,151.0995447,-33.9583688
2221,1,0,0,2221,151.1111936,-33.9919897
2222,1,0,0,2222,151.0849848,-33.9623045
2223,1,0,0,2223,151.0762495,-33.9830462
2224,1,0,0,2224,151.0995447,-34.0094315
2225,1,0,0,2225,151.0791612,-34.0016599
2226,1,0,0,2226,151.0646032,-34.0106901
2227,1,0,0,2227,151.0849848,-34.043981
2228,1,0,0,2228,151.1024569,-34.03825
2229,1,0,0,2229,151.1228434,-34.0460194
2230,1,0,0,2230,151.1461455,-34.0621862
2231,1,0,0,2231,151.1985879,-34.0194134
2232,1,0,0,2232,151.0646032,-34.0311029
2233,1,0,0,2233,151.0704263,-34.1193032
2234,1,0,0,2234,151.006385,-34.0161592
2250,1,0,0,2250,151.1869325,-33.3502247
2251,1,0,0,2251,151.38519,-33.4721323
2252,1,0,0,2252,Unknown,Unknown
2256,1,0,0,2256,151.2568777,-33.5117779
2257,1,0,0,2257,151.3385191,-33.5220832
2258,1,0,0,2258,151.3501856,-33.3295763
2259,1,0,0,2259,151.3501856,-33.2059456
2260,1,0,0,2260,151.4377107,-33.4287117
2261,1,0,0,2261,151.4318742,-33.3603327
2262,1,0,0,2262,151.5428026,-33.2075583
2263,1,0,0,2263,151.5077645,-33.2504355
2264,1,0,0,2264,151.4552213,-33.1186851
2265,1,0,0,2265,151.4435474,-33.0641471
2267,1,0,0,2267,151.5749274,-33.0683359
2268,1,0,0,2268,Unknown,Unknown
2278,1,0,0,2278,151.548643,-32.9351373
2280,1,0,0,2280,151.6713386,-33.0223311
2281,1,0,0,2281,151.6362736,-33.1170985
2282,1,0,0,2282,151.6479611,-32.9648241
2283,1,0,0,2283,151.5953736,-33.050132
2284,1,0,0,2284,151.6187438,-32.9524472
2285,1,0,0,2285,151.6187438,-32.9110348
2286,1,0,0,2286,151.5720067,-32.8995067
2287,1,0,0,2287,151.6654939,-32.9018298
2288,1,0,0,2288,Unknown,Unknown
2289,1,0,0,2289,151.7064109,-32.9481404
2290,1,0,0,2290,151.712257,-32.9754667
2291,1,0,0,2291,151.744414,-32.9497012
2292,1,0,0,2292,151.7341816,-32.9225853
2293,1,0,0,2293,151.7575709,-32.9153665
2294,1,0,0,2294,151.7663428,-32.9123334
2295,1,0,0,2295,151.7999723,-32.8674273
2296,1,0,0,2296,151.7458759,-32.9125002
2297,1,0,0,2297,151.7575709,-32.9050024
2298,1,0,0,2298,151.7210265,-32.9025199
2299,1,0,0,2299,151.7034879,-32.9085765
2300,1,0,0,2300,151.7795013,-32.9272155
2301,1,0,0,2301,Unknown,Unknown
2302,1,0,0,2302,151.7604948,-32.9264461
2303,1,0,0,2303,151.7502614,-32.9252332
2304,1,0,0,2304,151.7356433,-32.877603
2305,1,0,0,2305,151.7064109,-32.9274242
2306,1,0,0,2306,151.680106,-32.9908543
2307,1,0,0,2307,151.6917966,-32.879801
2308,1,0,0,2308,151.7034879,-32.8930342
2309,0,1,0,2309,Unknown,Unknown
