"RA_2006_CODE","RA_2006_NAME","POA_2006_CODE","POA_2006_CODE","RATIO","PERCENT"
"10","Major Cities of Australia","2516","2516",1,100
"10","Major Cities of Australia","2517","2517",1,100
"10","Major Cities of Australia","2518","2518",1,100
"10","Major Cities of Australia","2519","2519",1,100
"10","Major Cities of Australia","2525","2525",1,100
"10","Major Cities of Australia","2526","2526",1,100
"10","Major Cities of Australia","2527","2527",0.9582,95.82
"10","Major Cities of Australia","2528","2528",1,100
"10","Major Cities of Australia","2529","2529",1,100
"10","Major Cities of Australia","2530","2530",0.9676,96.76
"10","Major Cities of Australia","2557","2557",1,100
"10","Major Cities of Australia","2558","2558",1,100
"10","Major Cities of Australia","2559","2559",1,100
"10","Major Cities of Australia","2560","2560",0.975,97.5
"10","Major Cities of Australia","2563","2563",1,100
"10","Major Cities of Australia","2564","2564",1,100
"10","Major Cities of Australia","2565","2565",1,100
"10","Major Cities of Australia","2566","2566",1,100
"10","Major Cities of Australia","2567","2567",1,100
"10","Major Cities of Australia","2570","2570",0.5814,58.14
"10","Major Cities of Australia","2618","2618",0.4016,40.16
"10","Major Cities of Australia","2619","2619",1,100
"10","Major Cities of Australia","2620","2620",0.7931,79.31
"10","Major Cities of Australia","2745","2745",0.8765,87.65
"10","Major Cities of Australia","2747","2747",1,100
"10","Major Cities of Australia","2748","2748",1,100
"10","Major Cities of Australia","2749","2749",0.904,90.4
"10","Major Cities of Australia","2750","2750",1,100
"10","Major Cities of Australia","2753","2753",0.6484,64.84
"10","Major Cities of Australia","2754","2754",0.6033,60.33
"10","Major Cities of Australia","2755","2755",1,100
"10","Major Cities of Australia","2756","2756",0.6759,67.59
"10","Major Cities of Australia","2759","2759",1,100
"10","Major Cities of Australia","2760","2760",1,100
"10","Major Cities of Australia","2761","2761",1,100
"10","Major Cities of Australia","2762","2762",1,100
"10","Major Cities of Australia","2763","2763",1,100
"10","Major Cities of Australia","2765","2765",0.8234,82.34
"10","Major Cities of Australia","2766","2766",1,100
"10","Major Cities of Australia","2767","2767",1,100
"10","Major Cities of Australia","2768","2768",1,100
"10","Major Cities of Australia","2770","2770",1,100
"10","Major Cities of Australia","2773","2773",1,100
"10","Major Cities of Australia","2774","2774",1,100
"10","Major Cities of Australia","2776","2776",1,100
"10","Major Cities of Australia","2777","2777",1,100
"10","Major Cities of Australia","2778","2778",1,100
"10","Major Cities of Australia","2779","2779",1,100
"10","Major Cities of Australia","2780","2780",0.9847,98.47
"10","Major Cities of Australia","2782","2782",1,100
"10","Major Cities of Australia","2783","2783",1,100
"10","Major Cities of Australia","2784","2784",1,100
"11","Inner Regional Australia","2081","2081",0.1192,11.92
"11","Inner Regional Australia","2083","2083",1,100
"11","Inner Regional Australia","2084","2084",0.0245,2.45
"11","Inner Regional Australia","2105","2105",0.0679,6.79
"11","Inner Regional Australia","2108","2108",0.0631,6.31
"11","Inner Regional Australia","2156","2156",0.1626,16.26
"11","Inner Regional Australia","2157","2157",1,100
"11","Inner Regional Australia","2158","2158",0.0742,7.42
"11","Inner Regional Australia","2159","2159",0.3588,35.88
"11","Inner Regional Australia","2228","2228",0.0001,0.01
"11","Inner Regional Australia","2230","2230",0.0929,9.29
"11","Inner Regional Australia","2232","2232",0.0003,0.03
"11","Inner Regional Australia","2233","2233",0.0161,1.61
"11","Inner Regional Australia","2250","2250",0.0518,5.18
"11","Inner Regional Australia","2251","2251",0.032,3.2
"11","Inner Regional Australia","2256","2256",0.0151,1.51
"11","Inner Regional Australia","2258","2258",0.1556,15.56
"11","Inner Regional Australia","2259","2259",0.0625,6.25
"11","Inner Regional Australia","2264","2264",1,100
"11","Inner Regional Australia","2265","2265",1,100
"11","Inner Regional Australia","2311","2311",0.9001,90.01
"11","Inner Regional Australia","2312","2312",1,100
"11","Inner Regional Australia","2315","2315",1,100
"11","Inner Regional Australia","2316","2316",1,100
"11","Inner Regional Australia","2317","2317",1,100
"11","Inner Regional Australia","2318","2318",0.9016,90.16
"11","Inner Regional Australia","2319","2319",1,100
"11","Inner Regional Australia","2320","2320",0.0489,4.89
"11","Inner Regional Australia","2321","2321",0.4913,49.13
"11","Inner Regional Australia","2323","2323",0.0336,3.36
"11","Inner Regional Australia","2324","2324",0.3442,34.42
"11","Inner Regional Australia","2325","2325",1,100
"11","Inner Regional Australia","2326","2326",0.1604,16.04
"11","Inner Regional Australia","2328","2328",0.9356,93.56
"11","Inner Regional Australia","2330","2330",0.9862,98.62
"11","Inner Regional Australia","2331","2331",1,100
"11","Inner Regional Australia","2333","2333",0.9646,96.46
"11","Inner Regional Australia","2334","2334",1,100
"11","Inner Regional Australia","2335","2335",1,100
"11","Inner Regional Australia","2336","2336",0.9014,90.14
"11","Inner Regional Australia","2337","2337",0.6908,69.08
"11","Inner Regional Australia","2340","2340",0.9501,95.01
"11","Inner Regional Australia","2341","2341",1,100
"11","Inner Regional Australia","2344","2344",0.7625,76.25
"11","Inner Regional Australia","2350","2350",0.8637,86.37
"11","Inner Regional Australia","2352","2352",0.8763,87.63
"11","Inner Regional Australia","2353","2353",0.9083,90.83
"11","Inner Regional Australia","2358","2358",0.5912,59.12
"11","Inner Regional Australia","2415","2415",1,100
"11","Inner Regional Australia","2420","2420",0.9614,96.14
"11","Inner Regional Australia","2421","2421",1,100
"11","Inner Regional Australia","2422","2422",0.4846,48.46
"11","Inner Regional Australia","2423","2423",0.707,70.7
"11","Inner Regional Australia","2425","2425",1,100
"11","Inner Regional Australia","2426","2426",1,100
"11","Inner Regional Australia","2427","2427",1,100
"11","Inner Regional Australia","2428","2428",0.9689,96.89
"11","Inner Regional Australia","2429","2429",0.7131,71.31
"11","Inner Regional Australia","2430","2430",0.9929,99.29
"11","Inner Regional Australia","2439","2439",1,100
"11","Inner Regional Australia","2440","2440",0.6677,66.77
"11","Inner Regional Australia","2441","2441",0.0376,3.76
"11","Inner Regional Australia","2443","2443",1,100
"11","Inner Regional Australia","2444","2444",1,100
"11","Inner Regional Australia","2445","2445",1,100
"11","Inner Regional Australia","2446","2446",0.8916,89.16
"11","Inner Regional Australia","2450","2450",0.933,93.3
"11","Inner Regional Australia","2452","2452",1,100
"11","Inner Regional Australia","2454","2454",0.0863,8.63
"11","Inner Regional Australia","2455","2455",0.9122,91.22
"11","Inner Regional Australia","2456","2456",1,100
"11","Inner Regional Australia","2460","2460",0.7869,78.69
"11","Inner Regional Australia","2462","2462",0.2787,27.87
"11","Inner Regional Australia","2463","2463",0.8739,87.39
"11","Inner Regional Australia","2464","2464",1,100
"11","Inner Regional Australia","2465","2465",1,100
"11","Inner Regional Australia","2466","2466",1,100
"11","Inner Regional Australia","2469","2469",0.5348,53.48
"11","Inner Regional Australia","2470","2470",1,100
"11","Inner Regional Australia","2471","2471",1,100
"11","Inner Regional Australia","2472","2472",1,100
"11","Inner Regional Australia","2473","2473",1,100
